,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
1798,"smerd-, smord-",smerd smord,*smerd-{1},smerd-,
1799,smeru-,smeru,,,
1800,smeu-,smeu,,,
1801,"(s)meukʰ-, (s)meug-, (s)meugʰ-",meukʰ smeukʰ meug smeug meugʰ smeugʰ,,,
1802,smog-,smog,,,
1803,"snā-, snə-(t-), snāu-, sn-eu-, sn-et-",snā snə snə snə snət snət snāu sn sneu sn snet,"*(s)neh₂-{1}, *sneu̯-{1}","(s)neh₂-, sneu̯-",
1804,(s)nadʰ-,nadʰ snadʰ,?*snedʰ-{1},snedʰ-,
1805,"(s)nē-, and (s)nēi-",nē snē nēi snēi,*sneh₁-,sneh₁-,
1806,"(s)nēbʰ-ri-, (s)nōbʰ-ri-",nēbʰ nēbʰri snēbʰ snēbʰri nōbʰ nōbʰri snōbʰ snōbʰri,,,
1807,sneig-,sneig,,,
1808,sneigʷʰ-,sneigʷʰ,*snei̯gʷʰ-,snei̯gʷʰ-,
1809,sneit-,sneit,?*snei̯t-{1},snei̯t-,
1810,"snēp-, snōp-, snəp-",snēp snōp snəp,,,
1811,"1. (s)ner-, (s)nur-",ner sner nur snur,,,
1812,2. (s)ner-,ner sner,*snerk-{1},snerk-,
1813,(s)nerb-,nerb snerb,,,
1814,sneu-,sneu,,,
1815,"snēu- : snū-, and snĕu-",snēu : snū snĕu,*sneu̯H-{1},sneu̯H-,
1816,sneubʰ-,sneubʰ,*sneu̯bʰ-{1},sneu̯bʰ-,
1817,1. sneud(ʰ)-,sneud sneudʰ,,,
1818,2. sneudʰ-,sneudʰ,,,
1819,snusós,snusós,,,
1820,"so(s), sā",so sos sā,,,
1821,soi-to-,soi soito,,,
1822,"solo-, sol(e)u̯o-",solo solu̯o soleu̯o,,,
1823,sō[u]rā : sōrā,sō[u]rā : sōrā,,,
1824,spako-,spako,,,
1825,"sp(ʰ)ē-, sp(ʰ)ə-(dʰ-)",spē spʰē spə spə spə spədʰ spədʰ spʰə spʰə spʰə spʰədʰ spʰədʰ,,,
1826,"speǵ-, or spō̆ǵ-",speǵ or spō̆ǵ,,,
1827,1. (s)p(ʰ)ē̆i- : (s)p(ʰ)ī̆-,pē̆i pʰē̆i spē̆i spʰē̆i : pī̆ pʰī̆ spī̆ spʰī̆,,,
1828,"2. sp(ʰ)ei : sp(ʰ)ī̆, and sp(ʰ)ē : sp(ʰ)ə-",spei spʰei : spī̆ spʰī̆ spē spʰē : spə spʰə,*(s)peh₂-,(s)peh₂-,
1829,"3. sp(ʰ)ē(i)-, spī-, and spʰē- : spʰə-",spē spēi spʰē spʰēi spī spʰē : spʰə,"*spʰeh₁-{1}, ?*spʰei̯g-{1}","spʰeh₁-, spʰei̯g-",
1830,speḱ-,speḱ,*spek̑-,spek̑-,
1831,(s)pel-,pel spel,1.*(s)pelH-{1},(s)pelH-,
1832,1. (s)p(ʰ)el-,pel pʰel spel spʰel,2.*(s)pelH-{1},(s)pelH-,
1833,2. (s)p(ʰ)el-,pel pʰel spel spʰel,?*splend-{1},splend-,
1834,(s)p(ʰ)elg-,pelg pʰelg spelg spʰelg,,,
1835,"sp(ʰ)elǵʰ(en), splenǵʰ-, splē̆ǵʰ-",spelǵʰ spelǵʰen spʰelǵʰ spʰelǵʰen splenǵʰ splē̆ǵʰ,,,
1836,1. (s)pen(-d)-,pen pen pend spen spen spend,"*(s)penh₁-{1}, ?2.*(s)pend-{1}","(s)penh₁-, (s)pend-",
1837,"2. *(s)pen-, (s)pon-, (s)pondʰo-",*pen *spen pon spon pondʰo spondʰo,,,
1838,spend-,spend,1.*spend-,spend-,
1839,sp(ʰ)e(n)d-,sped spend spʰed spʰend,,,
1840,sp(ʰ)eng-,speng spʰeng,?*(s)bʰeng-{1},(s)bʰeng-,
1841,"speno-, stē̆no-, p(ə)stē̆no-",speno stē̆no pstē̆no pəstē̆no,,,
1842,1. (s)per-,per sper,,,
1843,2. sper(-g)-,sper sper sperg,,,
1844,3. sper-,sper,,,
1845,"4. (s)p(ʰ)er-, (s)p(ʰ)erəg-",per pʰer sper spʰer perəg pʰerəg sperəg spʰerəg,,,
1846,"1. sp(ʰ)er-, sp(ʰ)erə-",sper spʰer sperə spʰerə,"?1.*sper-{1}, *spʰerH-{1}","sper-, spʰerH-",
1847,"2. (s)p(ʰ)er-, sprei-, spreu-",per pʰer sper spʰer sprei spreu,"3.*sper-{1}, ?1.*(s)prend-{1}","sper-, (s)prend-",
1848,3. sp(ʰ)er-,sper spʰer,,,
1849,"sp(ʰ)erd(ʰ)-, (s)p(ʰ)red(ʰ)-, nasalized sp(ʰ)rend(ʰ)-",sperd sperdʰ spʰerd spʰerdʰ pred predʰ pʰred pʰredʰ spred spredʰ spʰred spʰredʰ sprend sprendʰ spʰrend spʰrendʰ,"*sperdʰ-{1}, ?2.*(s)prend-","sperdʰ-, (s)prend-",
1850,"*(s)p(ʰ)ereg-, (s)p(ʰ)erəg-, (s)p(ʰ)rēg-, nasalized spreng-",*pereg *pʰereg *spereg *spʰereg perəg pʰerəg sperəg spʰerəg prēg pʰrēg sprēg spʰrēg spreng,"?*spreg-{1}, *spʰerh₂g-{1}","spreg-, spʰerh₂g-",
1851,"sperǵʰ-, spreǵʰ-, nasalized sprenǵʰ-",sperǵʰ spreǵʰ sprenǵʰ,"*sperg̑ʰ-, *(s)prengʰ-","sperg̑ʰ-, (s)prengʰ-",
1852,(s)p(ʰ)eu-d-,peu peud pʰeu pʰeud speu speud spʰeu spʰeud,*speu̯d-,speu̯d-,
1853,(s)pī̆ko-,pī̆ko spī̆ko,,,
1854,(s)pingo-,pingo spingo,,,
1855,"(s)p(ʰ)i̯ēu- : (s)pi̯ū-, (s)pīu̯-",pi̯ēu pʰi̯ēu spi̯ēu spʰi̯ēu : pi̯ū spi̯ū pīu̯ spīu̯,*spti̯eu̯H-{1},spti̯eu̯H-,
1856,(s)plei-,plei splei,,,
1857,(s)pleiǵʰ-,pleiǵʰ spleiǵʰ,,,
1858,(s)poimno-,poimno spoimno,,,
1859,"sprei-, spreu-",sprei spreu,,,
1860,sp(ʰ)reig-,spreig spʰreig,,,
1861,srakʷ-to-,srakʷ srakʷto,,,
1862,"srebʰ-, sr̥bʰ-, and serbʰ-",srebʰ sr̥bʰ serbʰ,*srebʰ-,srebʰ-,
1863,"sr-edʰ-, sr-et-",sr sredʰ sr sret,,,
1864,(s)reigʰ-,reigʰ sreigʰ,,,
1865,srenk-,srenk,,,
1866,srēno-,srēno,,,
1867,sresk-,sresk,,,
1868,sreu-,sreu,*sreu̯-,sreu̯-,
1869,sreup-,sreup,,,
1870,"srīg-, srīgos-",srīg srīgos,?*srei̯Hg/g̑-{1},srei̯Hg(')-,
1871,srō̆mo-,srō̆mo,,,
1872,stā- : stə-,stā : stə,*steh₂-{1},steh₂-,
1873,stag-,stag,?*steh₂g/g̑-{1},steh₂g(')-,
1874,(s)tāi-,tāi stāi,1.*teh₂-{1},teh₂-,
1875,"stāi-, stī̆-, sti̯-ā-",stāi stī̆ sti̯ sti̯ā,?*sti̯eH-{1},sti̯eH-,
1876,"stāk-, stek-",stāk stek,,,
1877,"steb(ʰ)-, and stēb(ʰ)- : stəbʰ-, nasalized stemb(ʰ)-, step-, also stēp-?, nasalized stemp-, nominal stəbʰo-s, stemb(ʰ)ro-s, stomb(ʰ)o-s",steb stebʰ stēb stēbʰ : stəbʰ stemb stembʰ step stēp stēp? stemp nominal stəbʰo stəbʰos stembro stembros stembʰro stembʰros stombo stombos stombʰo stombʰos,"*stebʰ-{1}, *stembʰH-{1}","stebʰ-, stembʰH-",
1878,1. (s)teg-,teg steg,*(s)teg-{1},(s)teg-,
1879,2. (s)teg-,teg steg,,,
1880,"stegʰ-, nasalized stengʰ-",stegʰ stengʰ,?*stegʰ-,stegʰ-,
1881,(s)tei-,tei stei,,,
1882,"stē̆ib(ʰ)-, stī̆b(ʰ)-, stē̆ip-, stī̆p-",stē̆ib stē̆ibʰ stī̆b stī̆bʰ stē̆ip stī̆p,"?*stei̯b-{1}, ?*stei̯p-","stei̯b-, stei̯p-",
1883,(s)teig-,teig steig,*(s)tei̯g-{1},(s)tei̯g-,
1884,steigʰ-,steigʰ,*stei̯gʰ-,stei̯gʰ-,
1885,(s)teigʷ-,teigʷ steigʷ,,,
1886,(s)teigʷʰ-,teigʷʰ steigʷʰ,,,
1887,1. (s)tel-,tel stel,?*stelh₂k/k̑-{1},stelh₂k(')-,
1888,"2. stel-, stelə-",stel stelə,*stel-{1},stel-,
1889,3. stel-,stel,,,
1890,stem-,stem,,,
1891,1. (s)ten-,ten sten,"*sten-{1}, *(s)tenh₂-{1}","sten-, (s)tenh₂-",
1892,2. sten-,sten,,,
1893,"1. (s)ter-, (s)terə- : (s)trē-",ter ster terə sterə : trē strē,"*ster-{1}, *(s)dʰerbʰ-{1}, 2.*terp-{0}, ?*strebʰ-{1}","ster-, (s)dʰerbʰ-, terp-, strebʰ-",
1894,2. stē̆r-,stē̆r,,,
1895,3. ster-,ster,?*sterh₁-{1},sterh₁-,
1896,"4. ster-, also sterə- : strē-, strei-, streu-",ster sterə : strē strei streu,"1.*strei̯g-, *streu̯g-","strei̯g-, streu̯g-",
1897,"5. ster-, sterə- : strē-, steru- : streu-",ster sterə : strē steru : streu,"*ster-{1}, *sterh₃-, *streu̯-","ster-, sterh₃-, streu̯-",
1898,6. ster-,ster,,,
1899,7. (s)ter-n-,ter tern ster stern,,,
1900,8. (s)ter-,ter ster,?*(s)terk̑-,(s)terk̑-,
1901,"sterg-, sterk-",sterg sterk,*sterg-,sterg-,
1902,1. (s)teu-,teu steu,"*(s)teu̯g-{1}, 1.*teu̯k-{1}, *stengʷ-, 1.*(s)teu̯d-, *(s)teu̯p-","(s)teu̯g-, teu̯k-, stengʷ-, (s)teu̯d-, (s)teu̯p-",
1903,2. steu-,steu,*steu̯-,steu̯-,
1904,steu̯ə-,steu̯ə,?2.*steu̯d-{1},steu̯d-,
1905,"stilp-, stilb-",stilp stilb,,,
1906,stomen-,stomen,,,
1907,"storos, stornos, str̥nos?",storos stornos str̥nos?,,,
1908,1. streig-,streig,2.*strei̯g-,strei̯g-,
1909,2. streig-,streig,,,
1910,"3. (s)treig-, streid(ʰ)-",treig streig streid streidʰ,,,
1911,"strenk-, streng-",strenk streng,*strengʰ-{1},strengʰ-,
1912,"(s)trep-, (s)treb-",trep strep treb streb,*(s)trep-{1},(s)trep-,
1913,stru-,stru,,,
1914,"su-, sū-",su sū,,,
1915,"sū̆-s, suu̯-ós",sū̆ sū̆s suu̯ suu̯ós,,,
1916,"sū-ro-, sou-ro-",sū sūro sou souro,,,
1917,1. sūs-,sūs,,,
1918,2. sūs-,sūs,,,
1919,su̯ād-,su̯ād,*su̯eh₂d-{1},su̯eh₂d-,
1920,su̯ard-,su̯ard,,,
1921,"su̯ei-, su̯i-",su̯ei su̯i,,,
1922,su̯ē̆(i)-,su̯ē̆ su̯ē̆i,"?*su̯eh₁(i̯)-{1}, ?3.*su̯ei̯d-{1}, ?*su̯ei̯gʷ-{1}","su̯eh₁(i̯)-, su̯ei̯d-, su̯ei̯gʷ-",
1923,1. su̯eid-,su̯eid,?2.*su̯ei̯d-{1},su̯ei̯d-,
1924,2. su̯eid-,su̯eid,1.*su̯ei̯d-{1},su̯ei̯d-,
1925,su̯ēid-,su̯ēid,,,
1926,su̯ek-,su̯ek,,,
1927,su̯ekrū́-,su̯ekrū́,,,
1928,"su̯eḱs, seḱs, kseḱs, ksu̯eḱs, u̯eḱs : uḱs",su̯eḱs seḱs kseḱs ksu̯eḱs u̯eḱs : uḱs,,,
1929,s(u̯)ekʷo-s,sekʷo sekʷos su̯ekʷo su̯ekʷos,,,
1930,1. su̯el(-k)-,su̯el su̯el su̯elk,?2.*su̯el-{1},su̯el-,
1931,2. su̯el-,su̯el,"1.*su̯el-{1}, ?*su̯eld-{1}","su̯el-, su̯eld-",
1932,"3. su̯el-, su̯ol-, sul-",su̯el su̯ol sul,,,
1933,4. su̯el-,su̯el,,,
1934,"su̯e-lo-, su̯elii̯o(n)-",su̯e su̯elo su̯elii̯o su̯elii̯on,,,
1935,su̯elplo-s,su̯elplo su̯elplos,,,
1936,su̯em-,su̯em,,,
1937,su̯en-,su̯en,*su̯enh₂-,su̯enh₂-,
1938,(s)u̯endʰ-,u̯endʰ su̯endʰ,*(s)u̯endʰ-{1},(s)u̯endʰ-,
1939,"su̯eng-, su̯enk- : su̯eg-, su̯ek-",su̯eng su̯enk : su̯eg su̯ek,"?*su̯eng-{1}, ?*su̯engʷʰ-{1}","su̯eng-, su̯engʷʰ-",
1940,"su̯enk-, sunk-",su̯enk sunk,,,
1941,"su̯ento-, sunto-",su̯ento sunto,,,
1942,"1. su̯ep-, sup-",su̯ep sup,*su̯ep-,su̯ep-,
1943,"2. su̯ep-, sup-, su̯eb-",su̯ep sup su̯eb,*seu̯p-{1},seu̯p-,
1944,"1. su̯er-, also ser-?",su̯er ser ser?,,,
1945,2. su̯er-,su̯er,1.*su̯er-,su̯er-,
1946,3. su̯er-,su̯er,,,
1947,4. su̯er-,su̯er,2.*su̯er-{1},su̯er-,
1948,5. su̯er-,su̯er,,,
1949,"su̯erbʰ-, also su̯er-?",su̯erbʰ su̯er su̯er?,?*su̯erbʰ-{1},su̯erbʰ-,
1950,su̯ergʰ-,su̯ergʰ,?*su̯ergʰ-{1},su̯ergʰ-,
1951,su̯esor-,su̯esor,,,
1952,su̯ī-,su̯ī,?*su̯ei̯H-{1},su̯ei̯H-,
1953,su̯omb(ʰ)o-s,su̯ombo su̯ombos su̯ombʰo su̯ombʰos,,,
1954,su̯ordo-s,su̯ordo su̯ordos,,,
1955,"tā-, tə-, tāi-, təi-, tī̆-; [tāu-], təu-, tū̆-",tā tə tāi təi tī̆ tī̆; [tāu [tāu] təu tū̆,"*tei̯h₁-{1}, ?*teh₂k/k̑-{1}, 2.*teh₂-{1}","tei̯h₁-, teh₂k/k̑-, teh₂-",
1956,tād-,tād,,,
1957,"tag-, or teg- : tog- : t<sub>e</sub>g-",tag or teg : tog : teg,"*teh₂g/g̑-{1}, ?*teg-{1}","teh₂g(')-, teg-",
1958,tāg-,tāg,?*tag-{1},tag-,
1959,"tak-, takē(i)-",tak takē takēi,,,
1960,tāl-,tāl,,,
1961,1. tap-,tap,,,
1962,2. tap-,tap,,,
1963,"tata-, and similarly tē̆ta-",tata similarly tē̆ta,,,
1964,taus-,taus,"*th₂eu̯s-{1},1.*teu̯s-","th₂eu̯s-, teu̯s-",
1965,teg-,teg,,,
1966,"tēg-, təg-",tēg təg,,,
1967,tegu-,tegu,,,
1968,tei-,tei,,,
1969,teig-,teig,,,
1970,teigʷ-,teigʷ,,,
1971,1. tek-,tek,*tek̑-{1},tek̑-,
1972,2. tek-,tek,1.*tek-,tek-,
1973,3. tek-,tek,2.*tek-,tek-,
1974,teḱþ-,teḱþ,*tetk̑-{1},tetk̑-,
1975,tekʷ-,tekʷ,*tekʷ-,tekʷ-,
1976,"1. tel-, telə-, tlē(i)-, tlā-",tel telə tlē tlēi tlā,*telh₂-{1},telh₂-,
1977,"2. tel-, telə-, telu-",tel telə telu,,,
1978,3. tel-,tel,*telH-{1},telH-,
1979,4. tel-,tel,,,
1980,teleǵʰ-,teleǵʰ,*(s)terg̑ʰ-{1},(s)terg̑ʰ-,
1981,telek-,telek,?*telk-{1},telk-,
1982,telp-,telp,*telp-{1},telp-,
1983,"1. tem-, tend-",tem tend,"*temh₁-{1}, 2.*tend-{1}","temh₁-, tend-",
1984,2. tem-,tem,*temH-{1},temH-,
1985,tem(ə)-,tem temə,,,
1986,temp-,temp,*temp-{1},temp-,
1987,"1. ten-, tend-",ten tend,"1.*tend-{1}, *ten-{1}","tend-, ten-",
1988,2. ten-,ten,,,
1989,tend-,tend,,,
1990,"tenəgos, t<sub>e</sub>nəgos",tenəgos tenəgos,,,
1991,1. teng-,teng,"1.*teng/g̑-{1}, *tʰengʰ-{1}","teng(')-, tʰengʰ-",
1992,2. teng-,teng,,,
1993,tengʰ-,tengʰ,,,
1994,1. tenk-,tenk,,,
1995,2. tenk-,tenk,*temk-{1},temk-,
1996,tens-,tens,*tens-{1},tens-,
1997,"tenu-s, t<sub>e</sub>nu-s",tenu tenus tenu tenus,,,
1998,tep-,tep,1.*tep-,tep-,
1999,1. ter-,ter,,,
2000,"2. ter-, teru-",ter teru,,,
2001,"3. ter-, terə-, and teri-, trēi-, trī-, also teru- : treu-",ter terə teri trēi trī teru : treu,"*terh₁-{1}, ?*trei̯K-{1}, *terh₃-{1}, ?*trei̯gʷ-{1}, ?*treh₁-{1}, ?*tresk̑-{1}, *treu̯H-{1}, ?2.*terg/g̑-{1}, ?1.*terg(ʷ)-{1}, *treh₃g/g̑-, ?*treu̯p-{1}","terh₁-, trei̯K-, terh₃-, trei̯gʷ-, treh₁-, tresk̑-, treu̯H-, terg(')-, terg(ʷ)-, treh₃g(')-, treu̯p-",
2002,"4. ter-, terə- : tr̥̄-, trā-, teru-",ter terə : tr̥̄ trā teru,"*terh₂-{1}, ?*treH-{1}","terh₂-, treH-",
2003,5. ter-,ter,,,
2004,6. ter-,ter,,,
2005,"7. ter-, terə-, terbʰ-, terd-, terg-, terp-",ter terə terbʰ terd terg terp,,,
2006,"terd-, tred-",terd tred,*terd-,terd-,
2007,tergʷ-,tergʷ,*tergʷ-{1},tergʷ-,
2008,"terk-, trek-, tork-, trok-",terk trek tork trok,*terkʷ-{1},terkʷ-,
2009,"terp-, trep-",terp trep,1.*terp-,terp-,
2010,ters-,ters,*ters-,ters-,
2011,tet(e)r-,tetr teter,,,
2012,"1. teu-, teud-, teug-, teuk-, teup-",teu teud teug teuk teup,,,
2013,2. teu-,teu,?*teu̯H-{1},teu̯H-,
2014,"tēu-, təu-, teu̯ə-, tu̯ō-, tū̆-",tēu təu teu̯ə tu̯ō tū̆,"*teu̯h₂-{1}, ?2.*teu̯k-{1}, *tu̯em-{0}","teu̯h₂-, teu̯k-, tu̯em-",
2015,teuk-,teuk,,,
2016,teup-,teup,?*teu̯p-,teu̯p-,
2017,teus-,teus,2.*teu̯s-{1},teu̯s-,
2018,"teu̯ə-, tu̯ā-",teu̯ə tu̯ā,?*k/k̑i̯eh₂-{1},k(')i̯eh₂-,
2019,"ti-ti-, (ti)til-",ti titi til titil,,,
2020,ti̯egʷ-,ti̯egʷ,*ti̯egʷ-,ti̯egʷ-,
2021,"1. to-, tā-, ti̯o-",to tā ti̯o,,,
2022,2. to-,to,,,
2023,tolkʷ-,tolkʷ,,,
2024,"1. tong-, *teng-",tong *teng,2.*teng/g̑-,teng(')-,
2025,2. tong-,tong,,,
2026,top-,top,,,
2027,"tor-, toro-s",tor toro toros,*ter-{1},ter-,
2028,"trāgʰ-, trō̆gʰ-, and trē̆gʰ-",trāgʰ trō̆gʰ trē̆gʰ,,,
2029,"trē̆b-, trōb-, tr<sub>e</sub>b-, or trəb-, tr̥b-",trē̆b trōb treb or trəb tr̥b,,,
2030,treg-,treg,,,
2031,trei-,trei,,,
2032,treig-,treig,,,
2033,"treisti-, or trīsti-",treisti or trīsti,,,
2034,trek-,trek,,,
2035,"trem-, trems-",trem trems,*trem-,trem-,
2036,1. trenk-,trenk,*trenk-{1},trenk-,
2037,2. trenk-,trenk,1.*trep-{1},trep-,
2038,1. trep-,trep,2.*trep-,trep-,
2039,2. trep-,trep,,,
2040,"3. trep-, treb-",trep treb,,,
2041,"tres-, ters-, *teres-",tres ters *teres,,,
2042,trē̆u-,trē̆u,*treh₁u̯-{1},treh₁u̯-,
2043,tr-eu-d-,tr treu treud,*treu̯d-,treu̯d-,
2044,"trii̯əto-, trīto-",trii̯əto trīto,,,
2045,tris-,tris,,,
2046,trozdos- : tr̥zdos-,trozdos : tr̥zdos,,,
2047,trū̆des-,trū̆des,,,
2048,truḱ-,truḱ,,,
2049,trus-,trus,,,
2050,"tu, tutu",tu tutu,,,
2051,tū̆,tū̆,,,
2052,tū-lo-,tū tūlo,,,
2053,"1. tu̯ā̆k-, tuk-",tu̯ā̆k tuk,,,
2054,2. tu̯ak-,tu̯ak,,,
2055,tu̯akos,tu̯akos,,,
2056,1. tu̯ē̆i-,tu̯ē̆i,,,
2057,"2. tu̯ei-, extended tu̯ei-s-",tu̯ei tu̯ei tu̯eis,"?*tu̯ei̯-{1}, *tu̯ei̯s-{1}","tu̯ei̯-, tu̯ei̯s-",
2058,tu̯en-,tu̯en,,,
2059,tu̯enǵʰ-,tu̯enǵʰ,*tu̯enk-{1},tu̯enk-,
2060,"1. tu̯er- : tur-, and tu̯r̥-",tu̯er : tur tu̯r̥,*tu̯er-{1},tu̯er-,
2061,"2. tu̯er- : tur-, tu̯erə-",tu̯er : tur tu̯erə,*tu̯erH-{1},tu̯erH-,
2062,tu̯erḱ-,tu̯erḱ,*tu̯erk̑-{1},tu̯erk̑-,
2063,tu̯ī̆bʰ-,tu̯ī̆bʰ,,,
2064,tu̯ō[u]- : tu̯əu- : tū-l-,tu̯ō[u] : tu̯əu : tū tūl,,,
2065,1. u-,u,,,
2066,2. u-,u,,,
2067,ub-,ub,,,
2068,ū̆d-,ū̆d,,,
2069,"udero-, u̯ēdero-",udero u̯ēdero,,,
2070,ul-,ul,,,
2071,"upér, upéri",upér upéri,,,
2072,"upo, up, eup, (e)up-s-",upo up eup up ups eup eups,,,
2073,"1. u̯ā-, u̯ō-, u̯ə-",u̯ā u̯ō u̯ə,*h₃u̯ath₂-{1},h₃u̯ath₂-,
2074,u̯en-,u̯en,,,
2075,2. u̯ā-,u̯ā,,,
2076,u̯āb-,u̯āb,,,
2077,u̯adʰ-,u̯adʰ,,,
2078,"u̯ādʰ-, u̯ədʰ-",u̯ādʰ u̯ədʰ,"*gʰeh₁-, *u̯eh₂dʰ-{1}","gʰeh₁-, u̯eh₂dʰ-",
2079,1. u̯ā̆g-,u̯ā̆g,"*u̯eh₂g/g̑-, *u̯eh₂g̑-{1}","u̯eh₂g(')-, u̯eh₂g̑-",
2080,2. u̯ā̆g-,u̯ā̆g,,,
2081,"u̯ā̆gʰ-, suā̆gʰ-",u̯ā̆gʰ suā̆gʰ,?*u̯eh₂g/g̑ʰ-{1},u̯eh₂g(')ʰ-,
2082,u̯ai,u̯ai,,,
2083,"u̯ā̆i-, u̯ī-",u̯ā̆i u̯ī,*h₁u̯eh₂-{0},,
2084,u̯ā̆kā,u̯ā̆kā,,,
2085,"u̯al-, u̯al-d(ʰ)-",u̯al u̯al u̯ald u̯al u̯aldʰ,1.*u̯elH-{1},u̯elH-,
2086,u̯anḱ-,u̯anḱ,,,
2087,1. u̯ap-,u̯ap,,,
2088,"2. u̯ap-, ū̆p-",u̯ap ū̆p,,,
2089,u̯āsto-s,u̯āsto u̯āstos,,,
2090,"1. u̯āt-, better u̯ōt-",u̯āt u̯ōt,,,
2091,2. u̯ā̆t-,u̯ā̆t,,,
2092,"u̯azdʰ-, better u̯ozdʰ-",u̯azdʰ u̯ozdʰ,,,
2093,"1. u̯ē̆-, u̯ei-",u̯ē̆ u̯ei,,,
2094,"2. u̯e-, u̯edʰ-",u̯e u̯edʰ,,,
2095,"3. u̯ē-, u̯ə-",u̯ē u̯ə,,,
2096,"4. u̯e-, u̯o-, u̯es-",u̯e u̯o u̯es,,,
2097,"5. u̯e-, u̯o-",u̯e u̯o,,,
2098,1. u̯ebʰ-,u̯ebʰ,*u̯ebʰ-{1},u̯ebʰ-,
2099,2. u̯ebʰ-,u̯ebʰ,,,
2100,u̯ed-,u̯ed,,,
2101,1. u̯edʰ-,u̯edʰ,*u̯edʰh₁-{1},u̯edʰh₁-,
2102,"2. u̯edʰ-, before nasals u̯ed-",u̯edʰ u̯ed,*u̯edʰ-{1},u̯edʰ-,
2103,3. u̯edʰ-,u̯edʰ,*u̯edʰ-{1},u̯edʰ-,
2104,u̯eg-,u̯eg,?*u̯eg-{1},u̯eg-,
2105,u̯eǵ-,u̯eǵ,*u̯eg̑-{1},u̯eg̑-,
2106,"u̯egʷ- : ū̆gʷ-, ukʷs-",u̯egʷ : ū̆gʷ ukʷs,*u̯egʷ-{1},u̯egʷ-,
2107,u̯eǵʰ-,u̯eǵʰ,*u̯eg̑ʰ-,u̯eg̑ʰ-,
2108,u̯əg- : u̯āg-,u̯əg : u̯āg,,,
2109,"1. u̯ei-, u̯ei̯ə- : u̯ī̆-",u̯ei u̯ei̯ə : u̯ī̆,*u̯i̯eh₁-{1},u̯i̯eh₁-,
2110,"2. u̯ei-, u̯ei̯ə- : u̯ī̆-",u̯ei u̯ei̯ə : u̯ī̆,?*u̯ei̯(H)-{1},u̯ei̯(H)-,
2111,"3. u̯ei-, u̯eiə- : u̯ī-",u̯ei u̯eiə : u̯ī,*u̯ei̯h₁-,u̯ei̯h₁-,
2112,u̯eib-,u̯eib,,,
2113,1. u̯eid-,u̯eid,,,
2114,2. u̯(e)id-,u̯id u̯eid,*u̯ei̯d-,u̯ei̯d-,
2115,"u̯eidʰ-, u̯idʰ-",u̯eidʰ u̯idʰ,*h₂u̯i̯edʰ-{1},h₂u̯i̯edʰ-,
2116,1. u̯eik-,u̯eik,?1.*u̯ei̯k-{1},u̯ei̯k-,
2117,2. u̯eik-,u̯eik,2.*u̯ei̯k-{1},u̯ei̯k-,
2118,3. u̯eik-,u̯eik,*u̯ei̯k̑-{1},u̯ei̯k̑-,
2119,"4. u̯eik-, u̯eig-, extended form of u̯ei-",u̯eik u̯eig of u̯ei,"*u̯ei̯g-{1}, *u̯i̯ekʷ-{1}","u̯ei̯g-, u̯i̯ekʷ-",
2120,"u̯eiḱ-, u̯iḱ-, u̯oiḱo-",u̯eiḱ u̯iḱ u̯oiḱo,*u̯ei̯k̑-{1},u̯ei̯k̑-,
2121,"u̯eip-, u̯eib-",u̯eip u̯eib,*u̯ei̯p-,u̯ei̯p-,
2122,1. u̯eis-,u̯eis,1.*u̯ei̯s-{1},u̯ei̯s-,
2123,2. u̯eis-,u̯eis,,,
2124,3. u̯eis-,u̯eis,2.*u̯ei̯s-{1},u̯ei̯s-,
2125,"u̯ek-, u̯e-n-k-",u̯ek u̯e u̯en u̯enk,?*u̯enk-{1},u̯enk-,
2126,u̯ək- : *u̯āk-,u̯ək : *u̯āk,,,
2127,u̯eḱ-,u̯eḱ,*u̯ek̑-,u̯ek̑-,
2128,u̯ekʷ-,u̯ekʷ,"*u̯ekʷ-, *h₂u̯eg/g̑ʰ-{1}","u̯ekʷ-, h₂u̯eg(')ʰ-",
2129,u̯ek-ti-,u̯ek u̯ekti,,,
2130,1. u̯el-,u̯el,3.*u̯el-{1},u̯el-,
2131,"2. u̯el-, u̯lei-, u̯lē(i)-",u̯el u̯lei u̯lē u̯lēi,"*u̯elh₁-{0}, ?*h₁u̯eld-{1}, *u̯elp-{1}","u̯elh₁-, h₁u̯eld-, u̯elp-",
2132,3. u̯el-,u̯el,1.*u̯el-{1},u̯el-,
2133,"4. u̯el-, u̯elə-",u̯el u̯elə,,,
2134,"5. u̯el-, u̯elə-",u̯el u̯elə,,,
2135,6. u̯el-,u̯el,,,
2136,"7. u̯el-, u̯elə-, u̯lē-",u̯el u̯elə u̯lē,"2.*u̯elH-, 2.*u̯el-{1}, 1.*u̯elg-","u̯elH-, u̯el-, u̯elg-",
2137,8. u̯el-,u̯el,*u̯elh₃-{1},u̯elh₃-,
2138,1. u̯elk-,u̯elk,*h₂u̯elk-{1},h₂u̯elk-,
2139,"2. u̯elk-, u̯elg-",u̯elk u̯elg,"?*u̯elk-{1}, ?2.*u̯elg-{1}","u̯elk-, u̯elg-",
2140,"u̯em-, u̯emə-",u̯em u̯emə,*u̯emh₁-,u̯emh₁-,
