,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
1530,"plā̆t-, plā̆d-, plē̆t-, plō̆t-, plət-",plā̆t plā̆d plē̆t plō̆t plət,*pleth₂-{1},pleth₂-,
1531,"plē-, plə-",plē plə,,,
1532,"plēi-, pləi-, plī-",plēi pləi plī,,,
1533,pleḱ-,pleḱ,*plek̑-{1},plek̑-,
1534,"plēḱ-, pləḱ-, and plēiḱ-, plīḱ-",plēḱ pləḱ plēiḱ plīḱ,*pleh₁k̑-{1},pleh₁k̑-,
1535,pleu-,pleu,"*pleu̯-{0}, *pleh₃-{1}, ?*pleu̯k-{1}, ?*pleu̯d-{1}","pleu̯-, pleh₃-, pleu̯k-, pleu̯d-",
1536,pleuk-,pleuk,,,
1537,"pl(e)u-mon-, pleu-ti̯o-",plu plumon pleu pleumon pleu pleuti̯o,,,
1538,pleus-,pleus,,,
1539,"pləi-, pləu-",pləi pləu,,,
1540,"plouto-, pluto-",plouto pluto,,,
1541,pneu-,pneu,"?*pneu̯-{1}, *pneu̯H-{1}","pneu̯-, pneu̯H-",
1542,pn̥ksti-,pn̥ksti,,,
1543,1. pō(i)- : pəi-? : pī-,pō pōi : pəi pəi? : pī,,,
1544,"2. pō(i)- : pī-, and (from pō-), p<sub>o</sub>-",pō pōi : pī pō pō) po,*peh₃(i̯)-{0},peh₃(i̯)-,
1545,polo- : pōlo-,polo : pōlo,,,
1546,porḱo-s,porḱo porḱos,,,
1547,pos,pos,,,
1548,po-ti,po poti,,,
1549,poti-s,poti potis,,,
1550,pōu- : pəu- : pū̆-,pōu : pəu : pū̆,,,
1551,"pougo-, or pougʰo-",pougo or pougʰo,,,
1552,prā-,prā,,,
1553,"prāi-, prəi-, prī-, pri-",prāi prəi prī pri,*prei̯H-{1},prei̯H-,
1554,preg-,preg,,,
1555,prep-,prep,*prep-{1},prep-,
1556,"pret-, prō̆t-",pret prō̆t,?*pret-{1},pret-,
1557,preu-,preu,*preu̯-{1},preu̯-,
1558,preus-,preus,,,
1559,prīs-,prīs,,,
1560,prō̆-,prō̆,,,
1561,prōḱto- : prəḱto-,prōḱto : prəḱto,,,
1562,pr̥so-,pr̥so,,,
1563,"pster-, pstereu-",pster pstereu,*pster-{1},pster-,
1564,ptel(e)i̯ā,pteli̯ā ptelei̯ā,,,
1565,"1. pū̆-, peu-, pou-, also pʰu-",pū̆ peu pou pʰu,"?*peu̯k-{1}, ?*peu̯t-{1}, ?*h₃peu̯s-{1}","peu̯k-, peu̯t-, h₃peu̯s-",
1566,2. pū̆- : peu̯ə-,pū̆ : peu̯ə,2.*peu̯H-{1},peu̯H-,
1567,3. pū̆-,pū̆,,,
1568,"1. pū̆k-, peuk-",pū̆k peuk,,,
1569,2. puḱ-,puḱ,,,
1570,pu-lo-,pu pulo,,,
1571,pū-ro-,pū pūro,,,
1572,pʰel-,pʰel,,,
1573,pʰer-,pʰer,,,
1574,pʰō̆l-,pʰō̆l,?*peh₃lH-{1},peh₃lH-,
1575,pʰu-,pʰu,,,
1576,"rabʰ-, or rebʰ- : r<sub>e</sub>bʰ-",rabʰ or rebʰ : rebʰ,1.*rebʰ-{0},rebʰ-,
1577,"rāp-, rēp-",rāp rēp,,,
1578,rā̆s-,rā̆s,,,
1579,"1. rē-, rə-, extended rē-dʰ-",rē rə rē rēdʰ,,,
1580,"2. rē̆-, extended rē-dʰ-",rē̆ rē rēdʰ,,,
1581,3. rē-,rē,,,
1582,4. rē-,rē,,,
1583,5. rē-,rē,,,
1584,6. rē-,rē,,,
1585,1. rebʰ-,rebʰ,1.*rebʰ-{0},rebʰ-,
1586,2. rebʰ-,rebʰ,?2.*(h₁)rebʰ-{1},(h₁)rebʰ-,
1587,"red-, rod-",red rod,,,
1588,1. rēd-,rēd,,,
1589,2. rēd- : rōd- : rəd-,rēd : rōd : rəd,"?*Red-{1}, ?*rasd-{1}","Led-, rasd-",
1590,"1. reg-, and sreg-?",reg sreg sreg?,*(s)reg/g̑-{1},(s)reg(')-,
1591,2. reg-,reg,,,
1592,1. reǵ-,reǵ,"*h₃reg̑-{1}, *regʰ-{1}, *h₂reh₁g/g̑-{1}","h₃reg̑-, regʰ-, h₂reh₁g(')-",
1593,"2. reǵ-, reḱ-, rek-?",reǵ reḱ rek rek?,?*reg̑-{1},reg̑-,
1594,regʷos-,regʷos,,,
1595,1. rei-,rei,"*(h₁)rei̯p-{0}, *(h₁)rei̯k̑-{0}, *rei̯k(ʷ)h₂-{1}, ?*rei̯s-{1}","(h₁)rei̯p-, (h₁)rei̯k̑-, rei̯k(ʷ)h₂-, rei̯s-",
1596,"2. rei-, roi-",rei roi,,,
1597,"3. rei-, rē(i)-",rei rē rēi,?*reh₂(i̯)-{1},reh₂(i̯)-,
1598,4. rei- : rēi-,rei : rēi,1.*reh₁-{1},reh₁-,
1599,5. rei-,rei,,,
1600,1. rēi- : rī-,rēi : rī,,,
1601,"2. rēi-, rōi-",rēi rōi,,,
1602,reibʰ-,reibʰ,?*Rei̯bʰ-{1},Lei̯bʰ-,
1603,reid-,reid,?*(h₁)rei̯d-{1},(h₁)rei̯d-,
1604,reidʰ-,reidʰ,*rei̯dʰ-,rei̯dʰ-,
1605,"reig-, or reiǵ-",reig or reiǵ,*rei̯g/g̑-{1},rei̯g(')-,
1606,"reiǵ-, rēiǵ-",reiǵ rēiǵ,,,
1607,"rei̯ə-, rī-",rei̯ə rī,,,
1608,reik-,reik,,,
1609,rei-r(ēi)-,rei reir rei reirēi,,,
1610,"rēito-, rēiti-",rēito rēiti,,,
1611,1. rek-,rek,,,
1612,2. rē̆k-,rē̆k,*rek-{1},rek-,
1613,"reḱ-, reǵ-",reḱ reǵ,,,
1614,reḱþʰ-,reḱþʰ,*(h₁)rek̑s-{1},(h₁)rek̑s-,
1615,"rem-, remə-",rem remə,*h₁rem-{1},h₁rem-,
1616,"remb-, romb-, r<sub>o</sub>mb-",remb romb romb,,,
1617,rendʰ-,rendʰ,,,
1618,rent-,rent,,,
1619,rep-,rep,*(h₁)rep-{0},(h₁)rep-,
1620,"1. rēp-, rep-?",rēp rep rep?,?*reh₁p-{1},reh₁p-,
1621,"2. rēp-, rəp-",rēp rəp,,,
1622,"rēs-, rōs-",rēs rōs,,,
1623,ret(ʰ)-,ret retʰ,*ret-{1},ret-,
1624,"rēt-, rōt-, rət-",rēt rōt rət,,,
1625,"1. reu-, rēu-, rū̆-",reu rēu rū̆,"*h₃reu̯H-{1}, *reu̯dH-{1}, ?2.*reu̯dʰ-{1}, *h₃reu̯k-, *reu̯p-, *reu̯s-{1}","h₃reu̯H-, reu̯dH-, reu̯dʰ-, h₃reu̯k-, reu̯p-, reu̯s-",
1626,"2. reu-, reu̯ə- : rū̆-",reu reu̯ə : rū̆,*reu̯H-{1},reu̯H-,
1627,"3. reu-, reu-s-",reu reu reus,,,
1628,4. reu-,reu,,,
1629,"reu-b-, and reu-g-",reu reub reu reug,*(h₁)reu̯g-{0},(h₁)reu̯g-,
1630,reudʰ-,reudʰ,1.*(h₁)reu̯dʰ-{1},(h₁)reu̯dʰ-,
1631,reugʰ-m(e)n-,reugʰ reugʰmn reugʰ reugʰmen,,,
1632,reus-,reus,,,
1633,reu-smen-,reu reusmen,,,
1634,"reuto-, routo-, rut-",reuto routo rut,,,
1635,reu̯ə- : rū-,reu̯ə : rū,*reu̯h₁-{1},reu̯h₁-,
1636,rezg-,rezg,*resg-{1},resg-,
1637,roi-no-,roi roino,,,
1638,rugʰi̯o-,rugʰi̯o,,,
1639,"ruk(k)-, rouk(k)-",ruk rukk rouk roukk,,,
1640,r̥ksā,r̥ksā,,,
1641,ŕ̥ḱþo-s,ŕ̥ḱþo ŕ̥ḱþos,,,
1642,"sā-, sə-",sā sə,1.*seh₂(i̯)-{1},seh₂(i̯)-,
1643,sāg-,sāg,*seh₂g/g̑-,seh₂g(')-,
1644,sāi-,sāi,?2.*seh₂(i̯)-{1},seh₂(i̯)-,
1645,saip-,saip,,,
1646,sak-,sak,,,
1647,1. sal-,sal,,,
1648,2. sal-,sal,,,
1649,sā̆lo-,sā̆lo,,,
1650,sāno-s,sāno sānos,,,
1651,"sap-, sab-",sap sab,*seh₁p-{1},seh₁p-,
1652,sasi̯o-,sasi̯o,?*sesT-{1},ses-,
1653,sā-ti-,sā sāti,,,
1654,"saus-, sus-",saus sus,*h₂seu̯s-{1},h₂seu̯s-,
1655,"sā́u̯el-, sāu̯ol-, suu̯él-, su̯el-, sūl-",sā́u̯el sāu̯ol suu̯él su̯el sūl,,,
1656,se-,se,,,
1657,sed-,sed,*sed-,sed-,
1658,1. seg-,seg,1.*seg-{1},seg-,
1659,"2. seg-, nasalized seng-",seg seng,,,
1660,"seǵʰ-, seǵʰi-, seǵʰu-",seǵʰ seǵʰi seǵʰu,*seg̑ʰ-,seg̑ʰ-,
1661,"sei-, soi-",sei soi,,,
1662,1. sē(i)-,sē sēi,2.*seh₁(i̯)-{1},seh₁(i̯)-,
1663,"2. sē(i)- : səi- : sī-, sē- : sə-, and sei- : si-",sē sēi : səi : sī sē : sə sei : si,"*seh₁-, 1.*seh₁(i̯)-{1}","seh₁-, seh₁(i̯)-",
1664,"3. sē(i)-, səi- : sī-, and sei- : si-",sē sēi səi : sī sei : si,*sh₂ei̯-{1},sh₂ei̯-,
1665,"sē[i]dʰ- : sī̆dʰ-, and sədʰ-",sē[i]dʰ : sī̆dʰ sədʰ,"*seHdʰ-{1}, ?*sei̯dʰ-","seHdʰ-, sei̯dʰ-",
1666,"sē̆ik-, sī̆k-",sē̆ik sī̆k,"*sei̯k-, ?*seh₁k̑-{1}","seik-, seh₁k̑-",
1667,seikʷ-,seikʷ,*sei̯kʷ-,sei̯kʷ-,
1668,"seip-, seib-",seip seib,*sei̯b-,sei̯b-,
1669,1. sek-,sek,*sek-,sek-,
1670,2. sē̆k-,sē̆k,*sekH-{1},sekH-,
1671,3. sēk-,sēk,,,
1672,1. sekʷ-,sekʷ,1.*sekʷ-,sekʷ-,
1673,2. sekʷ-,sekʷ,2.*sekʷ-,sekʷ-,
1674,1. sel-,sel,2.*sel-{1},sel-,
1675,"2. sel-, su̯el-",sel su̯el,,,
1676,3. sel-,sel,*selh₁-{1},selh₁-,
1677,4. sel-,sel,1.*sel-{1},sel-,
1678,5. sel-,sel,3.*sel-,sel-,
1679,"6. sel-, selə- : slā-",sel selə : slā,*selh₂-,selh₂-,
1680,selǵ-,selǵ,*selg̑-{1},selg̑-,
1681,selk-,selk,*selk-{0},selk-,
1682,selos-,selos,,,
1683,selp-,selp,,,
1684,1. sem-,sem,"*semH-{1}, *h₂en-{1}","semH-, h₂en-",
1685,2. sem-,sem,,,
1686,3. sem-,sem,,,
1687,sēmi-,sēmi,,,
1688,"sen-, sene-, sen(e)u-, senə-",sen sene senu seneu senə,*senh₂-,senh₂-,
1689,sendʰro-,sendʰro,,,
1690,sengʷ-,sengʷ,*sengʷ-,sengʷ-,
1691,sengʷʰ-,sengʷʰ,*sengʷʰ-{1},sengʷʰ-,
1692,"seni-, senu-, s<sub>e</sub>ni-, sn̥-ter-",seni senu seni sn̥ sn̥ter,,,
1693,senk-,senk,,,
1694,sen(o)-,sen seno,,,
1695,sent-,sent,*sent-,sent-,
1696,sep-,sep,*sep-,sep-,
1697,septm̥,septm̥,,,
1698,1. ser-,ser,"3.*ser-{1}, *serh₃-","ser-, serh₃-",
1699,2. ser-,ser,1.*ser-,ser-,
1700,"3. ser-, sor-",ser sor,,,
1701,4. ser-,ser,2.*ser-{1},ser-,
1702,"5. ser-, extended serp-",ser serp,,,
1703,serk-,serk,*serk/k̑-,serk(')-,
1704,serp-,serp,*serp-,serp-,
1705,"1. seu-, seʷə- : sū-",seu seʷə : sū,"?*seu̯-{1}, *seu̯k̑-{1}, *sh₂eu̯-{1}","seu̯-, seu̯k̑-, sh₂eu̯-",
1706,"2. seu-, seu̯ə-, sū̆-",seu seu̯ə sū̆,?*seu̯H-{1},seu̯H-,
1707,"3. seu- : su-, seu̯ə- : sū-",seu : su seu̯ə : sū,?*seu̯k-{1},seu̯k-,
1708,"4. seu-, seu-t-",seu seu seut,"*seu̯h₁-{1}, ?*h₂seu̯t-{1}","seu̯h₁-, h₂seu̯t-",
1709,seug-,seug,,,
1710,"seu̯ə-, sū-",seu̯ə sū,*h₁u̯eh₂-{0} ,,
1711,seu̯i̯o-,seu̯i̯o,,,
1712,si̯ē[u]-ro- : si̯ə-ur(i̯o)-,si̯ē[u] si̯ē[u]ro : si̯ə si̯əur si̯ə si̯əuri̯o,,,
1713,"si̯ū-, sīu̯-",si̯ū sīu̯,*si̯eu̯H-{1},si̯eu̯H-,
1714,"skabʰ-, skambʰ-",skabʰ skambʰ,?*skebʰH-{1},skebʰH-,
1715,(s)kāi-,kāi skāi,?*kei̯t-,kei̯t-,
1716,"(s)k(ʰ)ai-, (s)k(ʰ)ai-d-, (s)k(ʰ)ai-t-",kai kʰai skai skʰai kai kaid kʰai kʰaid skai skaid skʰai skʰaid kai kait kʰai kʰait skai skait skʰai skʰait,?*kh₂ei̯d-{1},?*kh₂ei̯d-{1},
1717,"sḱāi-, sḱəi- : sḱī-",sḱāi sḱəi : sḱī,*sk̑eH(i̯)-{1},sk̑eH(i̯)-,
1718,"(s)kamb-, and (s)kemb-",kamb skamb kemb skemb,,,
