,texas_root,web_root
1768,"sk(h)u̯oi̯-, sk(h)u̯i(i̯)-","sk(h)u̯oi̯-,
sk(h)u̯i(i̯)-, sk(h)u̯oi̯-, sk(h)u̯i(i̯)-"
1769,(s)lā̆gu̯-,"(s)lā̆gʷ-., (s)lā̆gʷ-"
1770,slak-,"slak-, slak-"
1771,"(s)leb-, (s)lob-, (s)lep-, (s)lop-","(s)leb-,
(s)lob-, (s)lep-, (s)lop-, (s)leb-, (s)lob-, (s)lep-, (s)lop-"
1772,"(s)lēg- : (s)ləg-, and (s)leg-","(s)lēg-
: (s)ləg- und (s)leg-, (s)lēg- : (s)ləg- und (s)leg-"
1773,slēgu̯-,"slēgʷ-, slēgʷ-"
1774,(s)leib-,"(s)leib-, (s)leib-"
1775,(s)leidh-,"(s)leidh-, (s)leidh-"
1776,(s)leig-,"(s)leig-, (s)leig-"
1777,"slenk-, sleng-","slenk-,
sleng-, slenk-, sleng-"
1778,sler-,"sler-, sler-"
1779,(s)leu-,"(s)leu-, (s)leu-"
1780,sleub(h)-,"sleub(h)-, sleub(h)-"
1781,"(s)leug-, (s)leuk-","(s)leug-,
(s)leuk-, (s)leug-, (s)leuk-"
1782,"(s)leug̑-, (s)leuk̑-","(s)leuĝ-,
(s)leuk̂-, (s)leuĝ-, (s)leuk̂-"
1783,"(s)leup-, (s)leub(h)-","(s)leup-,
(s)leub(h)-, (s)leup-, (s)leub(h)-"
1784,"(s)lī- : sləi-, or slōi-, slī-u̯o-","(s)lī-
(: sləi- oder slōi-), slī-u̯o-, (s)lī- (: sləi- oder slōi-), slī-u̯o-"
1785,"slougo-, slougā- (fem.)","slougo-,
-ā- f., slougo-, -ā- f."
1786,"(s)lr̥g-, and sler-","(s)lr̥g-
und sler-., (s)lr̥g- und sler-"
1787,"sme, smā̆","sme,
smā, sme, smā"
1788,"smē-, smeī-, sm-ei-","smē-,
smeī-, sm-ei-, smē-, smeī-, sm-ei-"
1789,smeg(h)-,"smeg(h)-, smeg(h)-"
1790,"1. (s)mei-, smeu-","(s)mei-1,
smeu-, (s)mei-1, smeu-"
1791,2. smēi- : sməi- : smī̆-,"smēi-2
: sməi- : smī̆-, smēi-2 : sməi- : smī̆-"
1792,"3. smēi-, smeid-, smēig-, smēik-","smēi-3,
smeid-, smēig-, smēik-, smēi-3, smeid-, smēig-, smēik-"
1793,"smeit-, smit-","smeit-,
smit-, smeit-, smit-"
1794,smek-,"smek-, smek-"
1795,1. smel-,"smel-1, smel-1"
1796,2. smel-,"smel-2, smel-2"
1797,(s)mer-,"(s)mer-, (s)mer-"
1798,"smerd-, smord-","smerd-,
smord-, smerd-, smord-"
1799,smeru-,"smeru-, smeru-"
1800,smeu-,"smeu-, smeu-"
1801,"(s)meukh-, (s)meug-, (s)meugh-","(s)meukh-,
(s)meug-, (s)meugh-, (s)meukh-, (s)meug-, (s)meugh-"
1802,smog-,"smog-, smog-"
1803,"snā-, snə-(t-), snāu-, sn-eu-, sn-et-","snā-,
snə-(t-),
snāu-,
sn-eu-,
sn-et-, snā-, snə-(t-), snāu-, sn-eu-, sn-et-"
1804,(s)nadh-,"(s)nadh-, (s)nadh-"
1805,"(s)nē-, and (s)nēi-","(s)nē-
und (s)nēi-, (s)nē- und (s)nēi-"
1806,"(s)nēbh-ri-, (s)nōbh-ri-","(s)nēbh-ri-,
(s)nōbh-ri-, (s)nēbh-ri-, (s)nōbh-ri-"
1807,sneig-,"sneig-, sneig-"
1808,sneigu̯h-,"sneigʷh-, sneigʷh-"
1809,sneit-,"sneit-, sneit-"
1810,"snēp-, snōp-, snəp-","(snēp-),
snōp-, snəp-, (snēp-), snōp-, snəp-"
1811,"1. (s)ner-, (s)nur-","(s)ner-1,
(s)nur-, (s)ner-1, (s)nur-"
1812,2. (s)ner-,"(s)ner-2, (s)ner-2"
1813,(s)nerb-,"(s)nerb-, (s)nerb-"
1814,sneu-,"sneu-, sneu-"
1815,"snēu- : snū-, and snĕu-","snēu-
: snū- und snĕu-, snēu- : snū- und snĕu-"
1816,sneubh-,"sneubh-, sneubh-"
1817,1. sneud(h)-,"sneud(h)-1, sneud(h)-1"
1818,2. sneudh-,"sneudh-2, sneudh-2"
1819,snusós,"snusós, snusós"
1820,"so(s), sā","so(s),
sā, so(s), sā"
1821,soi-to-,"soi-to-, soi-to-"
1822,"solo-, sol(e)u̯o-","solo-, sol(e)u̯o-, solo-, sol(e)u̯o-"
1823,sō[u]rā : sōrā,"sō[u]rā
: sōrā, sō[u]rā : sōrā"
1824,spako-,"spako-, spako-"
1825,"sp(h)ē-, sp(h)ə-(dh-)","sp(h)ē-,
sp(h)ə-(dh-), sp(h)ē-, sp(h)ə-(dh-)"
1826,"speg̑-, or spō̆g̑-","speĝ-, speĝ-"
1827,1. (s)p(h)ē̆i- : (s)p(h)ī̆-,"(s)p(h)ē̆i-1
: (s)p(h)ī̆-, (s)p(h)ē̆i-1 : (s)p(h)ī̆-"
1828,"2. sp(h)ei : sp(h)ī̆, and sp(h)ē : sp(h)ə-","sp(h)ei
: sp(h)ī̆ und sp(h)ē : sp(h)ə-2, sp(h)ei : sp(h)ī̆ und sp(h)ē : sp(h)ə-2"
1829,"3. sp(h)ē(i)-, spī-, and sphē- : sphə-","sp(h)ē(i)-3,
spī- und sphē- : sphə-, sp(h)ē(i)-3, spī- und sphē- : sphə-"
1830,spek̑-,"spek̂-, spek̂-"
1831,(s)pel-,"(s)pel-, (s)pel-"
1832,1. (s)p(h)el-,"(s)p(h)el-1, (s)p(h)el-1"
1833,2. (s)p(h)el-,"(s)p(h)el-2, (s)p(h)el-2"
1834,(s)p(h)elg-,"(s)p(h)elg-, (s)p(h)elg-"
1835,"sp(h)elg̑h(en), spleng̑h-, splē̆g̑h-","sp(h)elĝh(en,
-ā), splenĝh-, splē̆ĝh-, sp(h)elĝh(en, -ā), splenĝh-, splē̆ĝh-"
1836,1. (s)pen(-d)-,"(s)pen-1(d-), (s)pen-1(d-)"
1837,"2. *(s)pen-, (s)pon-, (s)pondho-","(*(s)pen-2),
(s)pon-, (s)pondho-, (*(s)pen-2), (s)pon-, (s)pondho-"
1838,spend-,"spend-, spend-"
1839,sp(h)e(n)d-,"sp(h)e(n)d-, sp(h)e(n)d-"
1840,sp(h)eng-,"sp(h)eng-, sp(h)eng-"
1841,"speno-, stē̆no-, p(ə)stē̆no-","speno-,
stē̆no-, p(ə)stē̆no-, speno-, stē̆no-, p(ə)stē̆no-"
1842,1. (s)per-,"(s)per-1, (s)per-1"
1843,2. sper(-g)-,"sper-2(g-), sper-2(g-)"
1844,3. sper-,"sper-3, sper-3"
1845,"4. (s)p(h)er-, (s)p(h)erəg-","(s)p(h)er-4,
(s)p(h)erəg-, (s)p(h)er-4, (s)p(h)erəg-"
1846,"1. sp(h)er-, sp(h)erə-","sp(h)er-1,
sp(h)erə-, sp(h)er-1, sp(h)erə-"
1847,"2. (s)p(h)er-, sprei-, spreu-","(s)p(h)er-2,
sprei-, spreu-, (s)p(h)er-2, sprei-, spreu-"
1848,3. sp(h)er-,"sp(h)er-3, sp(h)er-3"
1849,"sp(h)erd(h)-, (s)p(h)red(h)-, nasalized sp(h)rend(h)-","sp(h)erd(h)-,
(s)p(h)red(h)-, nas. sp(h)rend(h)-, sp(h)erd(h)-, (s)p(h)red(h)-, nas. sp(h)rend(h)-"
1850,"*(s)p(h)ereg-, (s)p(h)erəg-, (s)p(h)rēg-, nasalized spreng-","*(s)p(h)ereg-,
(s)p(h)erəg-, (s)p(h)rēg- (nas. spreng-), *(s)p(h)ereg-, (s)p(h)erəg-, (s)p(h)rēg- (nas. spreng-)"
1851,"sperg̑h-, spreg̑h-, nasalized spreng̑h-","sperĝh-,
spreĝh-, nas. sprenĝh-, sperĝh-, spreĝh-, nas. sprenĝh-"
1852,(s)p(h)eu-d-,"(s)p(h)eu-d-, (s)p(h)eu-d-"
1853,(s)pī̆ko-,"(s)pī̆ko-, (s)pī̆ko-"
1854,(s)pingo-,"(s)pingo-, (s)pingo-"
1855,"(s)p(h)i̯ēu- : (s)pi̯ū-, (s)pīu̯-","(s)p(h)i̯ēu-
: (s)pi̯ū-, (s)pīu̯-, (s)p(h)i̯ēu- : (s)pi̯ū-, (s)pīu̯-"
1856,(s)plei-,"(s)plei-, (s)plei-"
1857,(s)pleig̑h-,"(s)pleiĝh-, (s)pleiĝh-"
1858,(s)poimno-,"(s)poimno-,
-ā, (s)poimno-, -ā"
1859,"sprei-, spreu-","sprei-,
spreu-, sprei-, spreu-"
1860,sp(h)reig-,"sp(h)reig-, sp(h)reig-"
