,texas_root,web_root
2029,"trē̆b-, trōb-, treb-, or trəb-, tr̥b-","trē̆b-,
trōb-, treb- oder trəb-, tr̥b-, trē̆b-, trōb-, tr↓↓e↓↓b- oder trəb-, tr̥b-"
2030,treg-,"treg-, treg-"
2031,trei-,"trei-, trei-"
2032,treig-,"treig-, treig-"
2033,"treisti-, or trīsti-","treisti-
oder trīsti-, treisti- oder trīsti-"
2034,trek-,"trek-, trek-"
2035,"trem-, trems-","trem-,
trems-, trem-, trems-"
2036,1. trenk-,"trenk-1, trenk-1"
2037,2. trenk-,"trenk-2, trenk-2"
2038,1. trep-,"trep-1, trep-1"
2039,2. trep-,"trep-2, trep-2"
2040,"3. trep-, treb-","trep-3,
treb-, trep-3, treb-"
2041,"tres-, ters-, *teres-","tres-,
ters- (*teres-), tres-, ters- (*teres-)"
2042,trē̆u-,"trē̆u-, trē̆u-"
2043,tr-eu-d-,"tr-eu-d-, tr-eu-d-"
2044,"trii̯əto-, trīto-","trii̯əto-,
trīto-, trii̯əto-, trīto-"
2045,tris-,"tris-, tris-"
2046,trozdos- : tr̥zdos-,"trozdos-
: tr̥zdos-., trozdos- : tr̥zdos-"
2047,trū̆des-,"trū̆des-, trū̆des-"
2048,truk̑-,"truk̂-, truk̂-"
2049,trus-,"trus-, trus-"
2050,"tu, tutu","tu,
tutu, tu, tutu"
2051,tū̆,"tū̆, tū̆"
2052,tū-lo-,"tū-lo-, tū-lo-"
2053,"1. tu̯ā̆k-, tuk-","tu̯ā̆k-1,
tuk-, tu̯ā̆k-1, tuk-"
2054,2. tu̯ak-,"tu̯ak-2, tu̯ak-2"
2055,tu̯akos,"tu̯akos, tu̯akos"
2056,1. tu̯ē̆i-,"tu̯ē̆i-1., tu̯ē̆i-1"
2057,"2. tu̯ei-, extended tu̯ei-s-","tu̯ei-2,
erweitert tu̯ei-s-, tu̯ei-2, erweitert tu̯ei-s-"
2058,tu̯en-,"tu̯en-, tu̯en-"
2059,tu̯eng̑h-,"tu̯enĝh-, tu̯enĝh-"
2060,"1. tu̯er- : tur-, and tu̯r̥-","tu̯er-1
: tur- und tu̯r̥-, tu̯er-1 : tur- und tu̯r̥-"
2061,"2. tu̯er- : tur-, tu̯erə-","tu̯er-2
: tur-, tu̯erə-, tu̯er-2 : tur-, tu̯erə-"
2062,tu̯erk̑-,"tu̯erk̂-, tu̯erk̂-"
2063,tu̯ī̆bh-,"tu̯ī̆bh-., tu̯ī̆bh-"
2064,tu̯ō[u]- : tu̯əu- : tū-l-,"tu̯ō[u]-
: tu̯əu- : tū-l-, tu̯ō[u]- : tu̯əu- : tū-l-"
2065,1. u-,"u-1, u-1"
2066,2. u-,"u-2, u-2"
2067,ub-,"ub-, ub-"
2068,ū̆d-,"ū̆d-, ū̆d-"
2069,"udero-, u̯ēdero-","udero-,
u̯ēdero-, udero-, u̯ēdero-"
2070,ul-,"ul-, ul-"
2071,"upér, upéri","upér,
upéri, upér, upéri"
2072,"upo, up, eup, (e)up-s-","upo,
up, eup, (e)up-s-, upo, up, eup, (e)up-s-"
2073,"1. u̯ā-, u̯ō-, u̯ə-","u̯ā-1,
u̯ō-, u̯ə-, u̯ā-1, u̯ō-, u̯ə-"
2074,u̯en-,"u̯en-, u̯en-"
2075,2. u̯ā-,"u̯ā-2, u̯ā-2"
2076,u̯āb-,"u̯āb-, u̯āb-"
2077,u̯adh-,"u̯adh-, u̯adh-"
2078,"u̯ādh-, u̯ədh-","u̯ādh-,
u̯ədh-, u̯ādh-, u̯ədh-"
2079,1. u̯ā̆g-,"u̯ā̆g-1, u̯ā̆g-1"
2080,2. u̯ā̆g-,"u̯ā̆g-2, u̯ā̆g-2"
2081,"u̯ā̆gh-, suā̆gh-","u̯ā̆gh-,
suā̆gh-, u̯ā̆gh-, suā̆gh-"
2082,u̯ai,"u̯ai, u̯ai"
2083,"u̯ā̆i-, u̯ī-","u̯ā̆i-,
u̯ī-, u̯ā̆i-, u̯ī-"
2084,u̯ā̆kā,"u̯ā̆kā, u̯ā̆kā"
2085,"u̯al-, u̯al-d(h)-","u̯al-,
u̯al-d(h)-, u̯al-, u̯al-d(h)-"
2086,u̯ank̑-,"u̯ank̂-, u̯ank̂-"
2087,1. u̯ap-,"u̯ap-1, u̯ap-1"
2088,"2. u̯ap-, ū̆p-","u̯ap-2,
ū̆p-, u̯ap-2, ū̆p-"
2089,u̯āsto-s,"u̯āsto-s, u̯āsto-s"
2090,"1. u̯āt-, better u̯ōt-","u̯āt-1,
besser u̯ōt-, u̯āt-1, besser u̯ōt-"
2091,2. u̯ā̆t-,"u̯āt-2, u̯āt-2"
2092,"u̯azdh-, better u̯ozdh-","u̯azdh-
(besser u̯ozdh-), u̯azdh- (besser u̯ozdh-)"
2093,"1. u̯ē̆-, u̯ei-","u̯ē̆-1, u̯ē̆-1"
2094,"2. u̯e-, u̯edh-","u̯e-2,
u̯edh-., u̯e-2, u̯edh-"
2095,"3. u̯ē-, u̯ə-","u̯ē-3,
u̯ə-, u̯ē-3, u̯ə-"
2096,"4. u̯e-, u̯o-, u̯es-","u̯e-4, u̯o-,
u̯es-, u̯e-4, u̯o-, u̯es-"
2097,"5. u̯e-, u̯o-","u̯e-5,
u̯o-, u̯e-5, u̯o-"
2098,1. u̯ebh-,"u̯ebh-1, u̯ebh-1"
2099,2. u̯ebh-,"u̯ebh-2, u̯ebh-2"
2100,u̯ed-,"u̯ed-, u̯ed-"
2101,1. u̯edh-,"u̯edh-1, u̯edh-1"
2102,"2. u̯edh-, before nasals u̯ed-","u̯edh-2,
vor Nasalen u̯ed-, u̯edh-2, vor Nasalen u̯ed-"
2103,3. u̯edh-,"u̯edh-3, u̯edh-3"
2104,u̯eg-,"u̯eg-, u̯eg-"
2105,u̯eg̑-,"u̯eĝ-, u̯eĝ-"
2106,"u̯egu̯- : ū̆gu̯-, uku̯s-","u̯egʷ-
: ū̆gʷ-, ukʷs-, u̯egʷ- : ū̆gʷ-, ukʷs-"
2107,u̯eg̑h-,"u̯eĝh-, u̯eĝh-"
2108,u̯əg- : u̯āg-,"u̯əg-
: u̯āg-, u̯əg- : u̯āg-"
2109,"1. u̯ei-, u̯ei̯ə- : u̯ī̆-","u̯ei-1,
u̯ei̯ə- : u̯ī-, u̯ei-1, u̯ei̯ə- : u̯ī-"
2110,"2. u̯ei-, u̯ei̯ə- : u̯ī̆-","u̯ei-2,
u̯ei̯ə- : u̯ī̆-, u̯ei-2, u̯ei̯ə- : u̯ī̆-"
2111,"3. u̯ei-, u̯eiə- : u̯ī-","u̯ei-3,
u̯eiə- : u̯ī-, u̯ei-3, u̯eiə- : u̯ī-"
2112,u̯eib-,"u̯eib-, u̯eib-"
2113,1. u̯eid-,"u̯eid-1, u̯eid-1"
2114,2. u̯(e)id-,"u̯(e)id-2, u̯(e)id-2"
2115,"u̯eidh-, u̯idh-","u̯eidh-,
u̯idh-, u̯eidh-, u̯idh-"
2116,1. u̯eik-,"u̯eik-1, u̯eik-1"
2117,2. u̯eik-,"u̯eik-2, u̯eik-2"
2118,3. u̯eik-,"u̯eik-3, u̯eik-3"
2119,"4. u̯eik-, u̯eig-, extended form of u̯ei-","u̯eik-4,
u̯eig-, u̯eik-4, u̯eig-"
2120,"u̯eik̑-, u̯ik̑-, u̯oik̑o-","u̯eik̂-,
u̯ik̂-, u̯oik̂o-, u̯eik̂-, u̯ik̂-, u̯oik̂o-"
2121,"u̯eip-, u̯eib-","u̯eip-,
u̯eib-., u̯eip-, u̯eib-"
2122,1. u̯eis-,"u̯eis-1, u̯eis-1"
2123,2. u̯eis-,"u̯eis-2, u̯eis-2"
2124,3. u̯eis-,"u̯eis-3, u̯eis-3"
2125,"u̯ek-, u̯e-n-k-","u̯ek-,
u̯e-n-k-, u̯ek-, u̯e-n-k-"
2126,u̯ək- : *u̯āk-,"u̯ək-
(: *u̯āk-), u̯ək- (: *u̯āk-)"
2127,u̯ek̑-,"u̯ek̂-, u̯ek̂-"
2128,u̯eku̯-,"u̯ekʷ-, u̯ekʷ-"
2129,u̯ek-ti-,"u̯ek-ti-, u̯ek-ti-"
2130,1. u̯el-,"u̯el-1, u̯el-1"
2131,"2. u̯el-, u̯lei-, u̯lē(i)-","u̯el-2,
u̯lei-, u̯lē(i)-, u̯el-2, u̯lei-, u̯lē(i)-"
2132,3. u̯el-,"u̯el-3, u̯el-3"
2133,"4. u̯el-, u̯elə-","u̯el-4,
u̯elə-, u̯el-4, u̯elə-"
2134,"5. u̯el-, u̯elə-","u̯el-5,
u̯elə-, u̯el-5, u̯elə-"
2135,6. u̯el-,"u̯el-6, u̯el-6"
2136,"7. u̯el-, u̯elə-, u̯lē-","u̯el-7,
u̯elə-, u̯lē-, u̯el-7, u̯elə-, u̯lē-"
2137,8. u̯el-,"u̯el-8, u̯el-8"
2138,1. u̯elk-,"u̯elk-1, u̯elk-1"
2139,"2. u̯elk-, u̯elg-","u̯elk-2,
u̯elg-, u̯elk-2, u̯elg-"
2140,"u̯em-, u̯emə-","u̯em-,
u̯emə-, u̯em-, u̯emə-"
2141,"1. u̯en-, u̯enə-","u̯en-1,
u̯enə-, u̯en-1, u̯enə-"
2142,2. u̯en-,"u̯en-2, u̯en-2"
2143,1. u̯endh-,"u̯endh-1, u̯endh-1"
2144,2. u̯endh-,"u̯endh-2, u̯endh-2"
2145,3. u̯endh-,"u̯endh-3, u̯endh-3"
2146,u̯e-n-g-,"u̯e-n-g-, u̯e-n-g-"
2147,u̯e-n-gh-,"u̯e-n-gh-, u̯e-n-gh-"
2148,u̯e-n-k-,"u̯e-n-k-, u̯e-n-k-"
2149,1. *u̯ep- : u̯ō̆p- : up-,"*u̯ep-1
: u̯ō̆p- : up-, *u̯ep-1 : u̯ō̆p- : up-"
2150,2. u̯ep-,"u̯ep-2, u̯ep-2"
2151,u̯ēp- : u̯əp-,"u̯ēp-
: u̯əp-, u̯ēp- : u̯əp-"
2152,"1. u̯er-, also su̯er-","u̯er-1,
auch su̯er-, u̯er-1, auch su̯er-"
2153,2. u̯er-,"u̯er-2, u̯er-2"
2154,3. u̯er-,"u̯er-3, u̯er-3"
2155,"3a. u̯er-, u̯r̥mi-s, u̯r̥mo-s","u̯er-3:
A. u̯r̥mi-s, u̯r̥mo-s, u̯er-3: A. u̯r̥mi-s, u̯r̥mo-s"
2156,"3b. u̯er-, u̯er-b-, and u̯er-bh-","u̯er-3:
B. u̯er-b- und u̯er-bh-, u̯er-3: B. u̯er-b- und u̯er-bh-"
2157,"3c. u̯er-, u̯(e)r-ed-","u̯er-3:
C. u̯(e)r-ed-, u̯er-3: C. u̯(e)r-ed-"
2158,"3d. u̯er-, u̯er-g-","u̯er-3:
D. u̯er-g-, u̯er-3: D. u̯er-g-"
2159,"3e. u̯er-, u̯er-g̑h-","u̯er-3:
E. u̯er-ĝh-, u̯er-3: E. u̯er-ĝh-"
2160,"3f. u̯er-, u̯er-k-","u̯er-3:
F. u̯er-k-, u̯er-3: F. u̯er-k-"
2161,"3g. u̯er-, u̯er-p-, u̯r-ep-","u̯er-3:
G. u̯er-p-, u̯r-ep-, u̯er-3: G. u̯er-p-, u̯r-ep-"
2162,"3h. u̯er-, u̯er-t-","u̯er-3:
H. u̯er-t-, u̯er-3: H. u̯er-t-"
2163,"3i. u̯er-, u̯r-ei-","u̯er-3:
I. u̯r-ei-: α)
u̯rei-n-:, u̯er-3: I. u̯r-ei-: α) u̯rei-n-:"
2164,,"u̯er-3:
I. u̯r-ei-: β)
u̯rizd-, u̯er-3: I. u̯r-ei-: β) u̯rizd-"
2165,,"u̯er-3:
I. u̯r-ei-: γ)
u̯reiĝ-, u̯er-3: I. u̯r-ei-: γ) u̯reiĝ-"
2166,,"u̯er-3:
I.
u̯r-ei-:
δ) u̯reik̂-, u̯er-3: I. u̯r-ei-: δ) u̯reik̂-"
2167,,"u̯er-3:
I. u̯r-ei-: ε)
u̯reip-, u̯rīp-, u̯er-3: I. u̯r-ei-: ε) u̯reip-, u̯rīp-"
2168,,"u̯er-3:
I. u̯r-ei-: ζ)
u̯reit-, u̯er-3: I. u̯r-ei-: ζ) u̯reit-"
2169,4. u̯er-,"u̯er-4, u̯er-4"
2170,5. u̯er-,"u̯er-5, u̯er-5"
2171,6. u̯er-,"u̯er-6, u̯er-6"
2172,7. u̯er-,"u̯er-7, u̯er-7"
2173,8. u̯er-,"u̯er-8, u̯er-8"
2174,9. u̯er- : u̯eru-s,"u̯er-9
: u̯eru-s, u̯er-9 : u̯↓↓e↓↓ru-s"
2175,10. u̯er-,"u̯er-10, u̯er-10"
2176,"11. u̯er-, u̯erə-","u̯er-11,
u̯erə-, u̯er-11, u̯erə-"
2177,12. u̯er-,"u̯er-12, u̯er-12"
2178,13. u̯er-,"u̯er-13, u̯er-13"
2179,"u̯(e)rād-, u̯erəd-, u̯rəd-","u̯(e)rād-,
u̯erəd-, u̯rəd-, u̯(e)rād-, u̯↓↓e↓↓rəd-, u̯rəd-"
2180,"u̯erdh-, u̯redh-","u̯erdh-,
u̯redh-, u̯erdh-, u̯redh-"
2181,"1. u̯erg̑-, u̯reg̑-","u̯erĝ-1,
u̯reĝ-, u̯erĝ-1, u̯reĝ-"
2182,"2. u̯erg̑-, u̯reg̑-","u̯erĝ-2,
u̯reĝ-, u̯erĝ-2, u̯reĝ-"
2183,"3. u̯erg̑-, u̯org̑-","u̯erĝ-3,
u̯orĝ-, u̯erĝ-3, u̯orĝ-"
2184,"u̯er-g-, u̯er-g̑h-, u̯er-k-","u̯er-g-,
u̯er-ĝh-, u̯er-k-, u̯er-g-, u̯er-ĝh-, u̯er-k-"
2185,u̯er-(e)nā,"u̯er-(e)nā, u̯er-↓↓(e)↓↓nā"
2186,u̯ers-,"u̯ers-, u̯ers-"
2187,u̯eren-,"u̯eren-., u̯↓↓e↓↓ren-"
2188,1. u̯es-,"u̯es-1, u̯es-1"
2189,2. u̯es-,"u̯es-2, u̯es-2"
2190,3. u̯es-,"u̯es-3, u̯es-3"
2191,4. u̯es-,"u̯es-4, u̯es-4"
2192,5. u̯es-,"u̯es-5, u̯es-5"
2193,6. u̯ē̆s-,"u̯ē̆s-6, u̯ē̆s-6"
2194,7. u̯es-,"u̯es-7, u̯es-7"
2195,8. u̯es-,"u̯es-8, u̯es-8"
2196,u̯es-no-,"u̯es-no-, u̯es-no-"
2197,9. u̯es-,"u̯es-9, u̯es-9"
2198,"u̯esperos, u̯ekeros","u̯esperos
(u̯ekeros), u̯esperos(u̯ekeros)"
2199,u̯es-r̥,"u̯es-r̥, u̯es-r̥"
2200,u̯ē̆su-,"u̯ē̆su-, u̯ē̆su-"
2201,u̯et-,"u̯et-, u̯et-"
2202,1. u̯ī̆-,"u̯ī̆-1, u̯ī̆-1"
2203,"2. u̯ī̆-, u̯oi-","u̯ī̆-2,
u̯oi-, u̯ī̆-2, u̯oi-"
2204,u̯idhu-,"u̯idhu-, u̯idhu-"
2205,u̯ī-k̑m̥t-ī,"u̯ī-k̂m̥t-ī, u̯ī-k̂m̥t-ī"
2206,u̯ī̆ks-,"u̯ī̆ks-, u̯ī̆ks-"
2207,"u̯ing̑-, and u̯eig̑-, u̯ig̑-?","u̯inĝ-
und u̯eiĝ- (u̯iĝ-?), u̯inĝ- und u̯eiĝ- (u̯iĝ-?)"
2208,u̯ī̆ro-s,"u̯ī̆ro-s., u̯ī̆ro-s"
2209,"u̯i̯eth-, u̯ith-","u̯i̯eth-,
u̯ith-, u̯i̯eth-, u̯ith-"
2210,"u̯lek-, u̯l̥k-","u̯lek-,
u̯l̥k-, u̯lek-, u̯l̥k-"
2211,u̯l̥ku̯os,"u̯l̥kʷos., u̯l̥kʷos"
2212,"u̯l̥p-, lup-","u̯l̥p-,
lup-, u̯l̥p-, lup-"
2213,u̯obhsā,"u̯obhsā, u̯obhsā"
2214,"u̯ogu̯hni-s, u̯ogu̯hnes-","u̯ogʷhni-s,
u̯ogʷhnes-, u̯ogʷhni-s, u̯ogʷhnes-"
2215,u̯okso-,"u̯okso-, u̯okso-"
2216,u̯ōro-,"u̯ōro-,
-ā, u̯ōro-, -ā"
2217,u̯ortoko-,"u̯ortoko-, u̯ortoko-"
2218,1. u̯rā̆g̑h- : u̯rəg̑h-,"u̯rā̆ĝh-1
: u̯rəĝh-, u̯rā̆ĝh-1 : u̯rəĝh-"
2219,2. u̯rāg̑h- : u̯rəg̑h-,"u̯rāĝh-2
: u̯rəĝh-, u̯rāĝh-2 : u̯rəĝh-"
2220,"u̯reg-, and u̯erg-?","u̯reg-
(und u̯erg-?), u̯reg- (und u̯erg-?)"
2221,"u̯rēg̑-, u̯rōg̑-, u̯rəg̑-","u̯rēĝ-,
u̯rōĝ-, u̯rəĝ-, u̯rēĝ-, u̯rōĝ-, u̯rəĝ-"
2222,u̯rek-,"u̯rek-, u̯rek-"
2223,"u̯reik-, u̯ereik-","u̯reik-,
u̯ereik-, u̯reik-, u̯ereik-"
2224,u̯ren-,"u̯ren-, u̯ren-"
2225,"u̯reth- : u̯roth-, or u̯rath-","(u̯reth-
:) u̯roth- oder u̯rath-, (u̯reth- :) u̯roth- oder u̯rath-"
2226,u̯rughi̯o-,"u̯rughi̯o-, u̯rughi̯o-"
