spätlat.,spätlateinisch,Late Latin,,,,,
St.,Stamm,stem,,,,,
st. V.,starkes Verbum,strong verb,,,,,
sum.,sumerisch,Sumerian,,,,,
Superl.,Superlativ,superlative,,,,,
thrak.,thrakisch,Thracian,,,,,
toch.,tocharisch,Tocharian,,,,,
tosk.,toskisch,Tosk,,,,,
u(mbr.),umbrisch,Umbrian,,,,,
unbel.,unbelegt,unassigned,,,,,
urind.,urindisch,Proto-Indic,,,,,
urn(ord.),urnordisch,Proto-Norse,,,,,
urspr.,ursprünglich,original,,,,,
ved.,vedisch,Vedic,,,,,
ven.,venetisch,Venetic,,,,,
ven-ill.,veneto-illyrisch,Veneto-Illyrian,,,,,
ven.-ill.,veneto-illyrisch,Veneto-Illyrian,added,,,,
vgl.,vergleiche,compare,,,,,
vlt.,vulgärlateinisch,Vulgar Latin,,,,,
VN.,Volksname,"name of a people, tribe, nation",,,,,
Vok.,Vokativ,vocative,,,,,
Wz(f).,Wurzel(form),root (form),,,,,
Wb.,Wörterbuch,dictionary,,,,,
wruss.,westrussisch,West Russian,,,,,
žem.,žemaitisch (niederlitauisch),Žemaitian,,,,,
Adj.,Adjektiv,adjective,added,,,,
Adv.,Adverb,Adverb,added,,,,
Imper.,Imperativ,imperative,added,,,,
Partiz.,Partizip,participle,added,,,,
Inf.,Infinitivum,infinitive,added,,,,
Hes.,Hesychius,Hesychius,added,,,,
ksl.,Kircheslawisch,Old Church Slavic,added,,,,
mcymr.,mittel cymrisch,middle welsh,added,,,,
cymr.,cymrisch,Welsh,added,,,,
ds.,das selbe,the same,added,,,,
Lok.,Lokativ,locative,added,,,,
wru.,Westrussisch,west russian,added,,,,
usw.,und so weiter,etc.,added,,,,
lapp.,lappisch,lappish,added,,,,
lakon.,lakonisch,laconian,added,,,,
iran.,iranisch,iranian,added,,,,
uridg.,urindogermanisch,PIE,added,,,,
Altn.,altnordisch,old norse,added,,,,
bair.,Bavarian,Bavarian,added,,,,
baltoslav.,baltoslawisch,balto-slavic,added,,,,
asl.,altslawisch,altslawisch,added,,,,
klr.,kleinrussisch,Ukrainian,added,,,,
Agerm.,,Old Germanic,,,,,
